slug,module,category,localFile,high,medium,low,total_issues,issue_types,web_words_adj,doc_words,word_gap_pct,web_imgs_adj,doc_imgs,aggregated,agg_files
tai-sao-djoi-luc-toi-thay-so-luong-restore-point-tren-he-thong-nhieu-hon-so-luong-lastest-backup-to-keep-dja-khai-bao,Backup,FPT Cloud Backup & DR,backup/tai-sao-djoi-luc-toi-thay-so-luong-restore-point-tren-he-thong-nhieu-hon-so-luong-lastest-backup-to-keep-dja-khai-bao.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",51,6,88%,3,0,,
chinh-sua-alert,FPT Cloud Guard,FPT Monitoring,cloud-guard/chinh-sua-alert.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",67,23,66%,7,2,,
db-operation,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/db-operation.md,1,1,0,2,"FEWER_IMAGES, MISSING_HEADINGS",370,326,12%,9,1,,
create-request-resource,Request Resource,Support,end-user-request-resource/create-request-resource.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",52,10,81%,7,4,,
editschedule-snapshotVM,Cloud Server,FPT Cloud Server,cloud-server/editschedule-snapshotVM.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",56,16,71%,7,2,,
editschedule-snapshotstorage,Cloud Server,FPT Cloud Server,cloud-server/editschedule-snapshotstorage.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",56,16,71%,7,2,,
xoa-ssl-certificate,Load Balancer,FPT Network,load-balancer/xoa-ssl-certificate.md,1,1,0,2,"NO_IMAGES, NO_TABLES",49,9,82%,4,0,,
network-filters,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/network-filters.md,1,2,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",77,37,52%,6,0,,
cho-phep-enable-applications-set,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/cho-phep-enable-applications-set.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",52,13,75%,4,2,,
deposit-money-via-VNPay,FPT Cloud Portal – Pay As You Go,FPT Cloud Server,fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/deposit-money-via-VNPay.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",51,13,75%,10,3,,
quan-ly-team,FPT AppSec,FPT Security Platform,fpt-appsec/quan-ly-team.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",60,22,63%,6,3,,
xuat-bao-cao,FPT Cloud VA,FPT Security,fpt-va/xuat-bao-cao.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",55,19,65%,6,3,,
chinh-sua-recipient,FPT Cloud Guard,FPT Monitoring,cloud-guard/chinh-sua-recipient.md,1,2,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",53,17,68%,7,2,,
xoa-jenkins-instance-khi-khong-muon-su-dung,FPT Jenkins CI,FPT DevSecOps Services,fpt-jenkins-ci/xoa-jenkins-instance-khi-khong-muon-su-dung.md,1,1,0,2,"NO_TABLES, WORD_COUNT_LOW",59,23,61%,5,3,,
db-manage-operate,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/db-manage-operate.md,1,0,0,1,NO_IMAGES,243,207,15%,8,0,,
quan-ly-gpu-voi-hpc-portal,Cloud Server,FPT Cloud Server,cloud-server/quan-ly-gpu-voi-hpc-portal.md,1,2,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",55,26,53%,5,0,,
project-structure,Cloud Server,FPT Cloud Server,cloud-server/project-structure.md,1,1,0,2,"NO_IMAGES, NO_TABLES",35,6,83%,5,0,,
kich-hoat-dich-vu-fpt-container-registry,FPT Container Registry,FPT Container,fpt-container-registry/kich-hoat-dich-vu-fpt-container-registry.md,1,2,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",51,22,57%,5,0,,
scan-now,FPT Cloud VA,FPT Security,fpt-va/scan-now.md,1,1,0,2,"NO_IMAGES, NO_TABLES",111,82,26%,5,0,,
disable-NIC-card,Cloud Server,FPT Cloud Server,cloud-server/disable-NIC-card.md,1,2,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",56,28,50%,9,0,,
xay-dung-mot-website-tinh-bang-fpt-object-storage,FPT Object Storage,FPT Storage,fpt-object-storage/xay-dung-mot-website-tinh-bang-fpt-object-storage.md,1,1,0,2,"NO_IMAGES, NO_TABLES",472,451,4%,4,0,,
question-2,Cloud Server,FPT Cloud Server,cloud-server/question-2.md,1,1,0,2,"NO_IMAGES, NO_TABLES",65,46,29%,5,0,,
region-nhat-ban,File Storage - High Performance,FPT Storage,file-storage-high-performance/region-nhat-ban.md,1,1,0,2,"NO_IMAGES, NO_TABLES",30,11,63%,4,0,,
dang-nhap-voi-account-password,FPT Cloud Desktop,FPT Cloud Server,fpt-cloud-desktop/dang-nhap-voi-account-password.md,1,1,0,2,"NO_IMAGES, NO_TABLES",22,8,64%,4,0,,
select-project-when-creating-VPC,Cloud Server,FPT Cloud Server,cloud-server/select-project-when-creating-VPC.md,1,1,0,2,"NO_IMAGES, NO_TABLES",17,7,59%,6,0,,
register-account,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/register-account.md,1,2,0,3,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES",295,290,2%,9,1,,
tutorials-encryption,FPT Object Storage,FPT Storage,fpt-object-storage/tutorials-encryption.md,1,1,0,2,"NO_IMAGES, NO_TABLES",369,365,1%,4,0,,
schedule-snapshotstorage,Cloud Server,FPT Cloud Server,cloud-server/schedule-snapshotstorage.md,1,1,0,2,"NO_IMAGES, NO_TABLES",7,8,-14%,5,0,,
token,Cloud Server,FPT Cloud Server,cloud-server/token.md,1,1,0,2,"NO_IMAGES, NO_TABLES",14,16,-14%,5,0,,
region-viet-nam,File Storage - High Performance,FPT Storage,file-storage-high-performance/region-viet-nam.md,1,1,0,2,"NO_IMAGES, NO_TABLES",10,15,-50%,4,0,,
quan-ly-ssl-certificate,Load Balancer,FPT Network,load-balancer/quan-ly-ssl-certificate.md,1,1,0,2,"NO_IMAGES, NO_TABLES",9,18,-100%,4,0,,
dang-nhap-voi-tai-khoan-SSO,FPT Cloud Desktop,FPT Cloud Server,fpt-cloud-desktop/dang-nhap-voi-tai-khoan-SSO.md,1,1,0,2,"NO_IMAGES, NO_TABLES",0,11,0%,4,0,,
quan-ly-proxy-host,FPT Cloud WAF,FPT Security,fpt-cloud-waf/quan-ly-proxy-host.md,1,1,0,2,"NO_IMAGES, NO_TABLES",0,12,0%,5,0,,
ip-access,IAM,FPT Security,iam/ip-access.md,1,1,0,2,"NO_IMAGES, NO_TABLES",3,17,-467%,4,0,,
quan-ly-may-ao,Cloud Server,FPT Cloud Server,cloud-server/quan-ly-may-ao.md,1,1,0,2,"NO_IMAGES, NO_TABLES",1,16,-1500%,5,0,,
custom-images-overview,Cloud Server,FPT Cloud Server,cloud-server/custom-images-overview.md,1,1,0,2,"NO_IMAGES, NO_TABLES",0,15,0%,5,0,,
thay-doi-cau-hinh-k8s-cluster,Managed - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/thay-doi-cau-hinh-k8s-cluster.md,1,1,0,2,"NO_IMAGES, NO_TABLES",8,23,-188%,5,0,,
role-management,IAM,FPT Security,iam/role-management.md,1,1,0,2,"NO_IMAGES, NO_TABLES",0,17,0%,4,0,,
overview-policy,Policy Management,FPT Cloud Server,policy-management/overview-policy.md,1,1,0,2,"NO_IMAGES, NO_TABLES",24,45,-88%,4,0,,
authenticate-certificate-mode,VPN Site-to-Site,FPT Network,vpn-site-to-site/authenticate-certificate-mode.md,1,1,0,2,"NO_IMAGES, NO_TABLES",9,30,-233%,6,0,,
quan-ly-kubernetes-cluster,Managed - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/quan-ly-kubernetes-cluster.md,1,1,0,2,"NO_IMAGES, NO_TABLES",0,25,0%,5,0,,
