slug,module,localFile,severity,web_adj,doc_words,gap_pct,aggregated,agg_files
trien-khai-ung-dung-tren-worker-pool,Managed - FPT Kubernetes Engine,managed-fpt-kubernetes-engine/trien-khai-ung-dung-tren-worker-pool.md,MEDIUM,479,281,41%,,
khoi-tao-canh-bao-load-balancer,FPT Cloud Guard,cloud-guard/khoi-tao-canh-bao-load-balancer.md,MEDIUM,631,375,41%,,
japan-su-dung-file-storage-high-performance-tren-baremetal-gpu-server,File Storage - High Performance,file-storage-high-performance/japan-su-dung-file-storage-high-performance-tren-baremetal-gpu-server.md,MEDIUM,936,562,40%,,
xoa-profile,FPT Autoscale,fpt-autoscale/xoa-profile.md,MEDIUM,127,78,39%,,
scale-thu-cong,FPT Autoscale,fpt-autoscale/scale-thu-cong.md,MEDIUM,423,259,39%,,
chinh-sua-listener,Load Balancer,load-balancer/chinh-sua-listener.md,MEDIUM,746,457,39%,,
restore-persistent-volume-tren-k8s,Managed - FPT Kubernetes Engine,managed-fpt-kubernetes-engine/restore-persistent-volume-tren-k8s.md,MEDIUM,140,86,39%,,
connect-strongswan,VPN Site-to-Site,vpn-site-to-site/connect-strongswan.md,MEDIUM,671,418,38%,,
theo-doi-bieu-do-load-balancer,Load Balancer,load-balancer/theo-doi-bieu-do-load-balancer.md,MEDIUM,290,180,38%,,
cau-hinh-telegram-bots,FPT Jenkins CI,fpt-jenkins-ci/cau-hinh-telegram-bots.md,MEDIUM,92,57,38%,,
mysql-troubleshooting,Managed - FPT Database Engines,managed-fpt-database-engine/mysql-troubleshooting.md,MEDIUM,1777,1108,38%,,
xoa-policy,FPT Autoscale,fpt-autoscale/xoa-policy.md,MEDIUM,123,77,37%,,
tutorials-quan-ly-template-duoc-tao-tu-may-ao,Cloud Server,cloud-server/tutorials-quan-ly-template-duoc-tao-tu-may-ao.md,MEDIUM,93,59,37%,,
tutorials-bucket-config,FPT Object Storage,fpt-object-storage/tutorials-bucket-config.md,MEDIUM,1894,1191,37%,,
chinh-sua-cau-hinh-health-check,Load Balancer,load-balancer/chinh-sua-cau-hinh-health-check.md,MEDIUM,503,315,37%,,
xem-danh-sach-kubernetes-cluster-da-tao,Managed - FPT Kubernetes Engine,dedicated-fpt-kubernetes-engine/xem-danh-sach-kubernetes-cluster-da-tao.md,MEDIUM,78,49,37%,,
