slug,module,web_words,doc_words,content_status,images_status,web_images,doc_images,headings_match_pct,tables_status,web_tables,doc_tables,aggregated,local_files,missing_headings
tinh-nang-chuyen-worker-base-managed-gpu-cluster,Managed GPU Cluster (Kubernetes),224,248,full,full,3,3,100,n/a,0,0,False,fpt-managed-gpu-cluster/tinh-nang-chuyen-worker-base-managed-gpu-cluster.md,
tinh-nang-dat-lich-hibernate-wake-up,Managed - FPT Kubernetes Engine,270,297,full,full,10,10,100,n/a,0,0,False,managed-fpt-kubernetes-engine/tinh-nang-dat-lich-hibernate-wake-up.md,
tinh-nang-hibernate-wakeup,Managed - FPT Kubernetes Engine,431,473,full,full,10,10,100,n/a,0,0,False,managed-fpt-kubernetes-engine/tinh-nang-hibernate-wakeup.md,
tinh-nang-manual-scale-managed-gpu-cluster,Managed GPU Cluster (Kubernetes),136,159,full,full,4,4,100,n/a,0,0,False,fpt-managed-gpu-cluster/tinh-nang-manual-scale-managed-gpu-cluster.md,
tinh-nang-rotate-kubeconfig,Managed - FPT Kubernetes Engine,34,76,full,full,3,3,100,n/a,0,0,False,managed-fpt-kubernetes-engine/tinh-nang-rotate-kubeconfig.md,
tinh-nang-runtime-security-cluster,Managed - FPT Kubernetes Engine,863,899,full,full,46,46,100,n/a,0,0,False,managed-fpt-kubernetes-engine/tinh-nang-runtime-security-cluster.md,
tinh-nang-tang-cuong-bao-mat-mfke,Managed - FPT Kubernetes Engine,0,157,full,n/a,0,0,100,n/a,0,0,False,managed-fpt-kubernetes-engine/tinh-nang-tang-cuong-bao-mat-mfke.md,
tinh-nang-workload-scan,Managed - FPT Kubernetes Engine,1078,1108,full,full,11,11,100,n/a,0,0,False,managed-fpt-kubernetes-engine/tinh-nang-workload-scan.md,
toi-duoc-ho-tro-nhung-gi-khi-thue-may-chu-va-dung-dich-vu-backup-tren-fpt-cloud,Backup,0,100,full,n/a,0,0,100,n/a,0,0,False,backup/toi-duoc-ho-tro-nhung-gi-khi-thue-may-chu-va-dung-dich-vu-backup-tren-fpt-cloud.md,
toi-muon-tim-hieu-ve-backup-fpt-cloud-co-chinh-sach-dung-thu-khong,Backup,0,57,full,n/a,0,0,100,n/a,0,0,False,backup/toi-muon-tim-hieu-ve-backup-fpt-cloud-co-chinh-sach-dung-thu-khong.md,
token,Cloud Server,0,48,full,n/a,0,0,100,n/a,0,0,False,cloud-server/token.md,
tong-quan-dich-vu-GPU,FPT Kubernetes Engine with GPU,450,771,full,n/a,0,0,100,n/a,0,4,False,fpt-kubernetes-engine-with-gpu/tong-quan-dich-vu-GPU.md,
trang-thai-snapshot,FPT Data Platform,163,163,full,n/a,0,0,100,n/a,0,0,False,fpt-data-platform/cdc-service/trang-thai-snapshot.md,
trien-khai-ung-dung-su-dung-gpu-tren-kubernetes,FPT Kubernetes Engine with GPU,282,521,full,full,1,1,100,n/a,0,0,False,fpt-kubernetes-engine-with-gpu/trien-khai-ung-dung-su-dung-gpu-tren-kubernetes.md,
trien-khai-ung-dung-tren-worker-managed-gpu-cluster,Managed GPU Cluster (Kubernetes),292,306,full,full,3,3,100,n/a,0,0,False,fpt-managed-gpu-cluster/trien-khai-ung-dung-tren-worker-managed-gpu-cluster.md,
trien-khai-ung-dung-tren-worker-pool,Managed - FPT Kubernetes Engine,456,494,full,full,7,7,100,n/a,0,0,False,managed-fpt-kubernetes-engine/trien-khai-ung-dung-tren-worker-pool.md,
truc-quan-hoa-du-lieu,FPT Cloud Monitoring,0,58,full,n/a,0,0,100,n/a,0,0,False,fpt-cloud-monitoring/truc-quan-hoa-du-lieu.md,
truy-cap-gaia-portal,CheckPoint - FPT NGFW,16,38,full,full,3,3,100,n/a,0,0,False,checkpoint-fpt-ngfw/truy-cap-gaia-portal.md,
truy-cap-giao-dien-quan-tri,Trellix Customer Guide,0,137,full,full,3,3,100,n/a,0,0,False,trellix-customer-guide/truy-cap-giao-dien-quan-tri.md,
truy-cap-smartconsole,CheckPoint - FPT NGFW,25,49,full,full,3,3,100,n/a,0,0,False,checkpoint-fpt-ngfw/truy-cap-smartconsole.md,
truy-cap-thong-tin-chi-tiet-cua-cluster,Dedicated - FPT Kubernetes Engine,255,266,full,full,7,7,100,n/a,0,0,False,dedicated-fpt-kubernetes-engine/truy-cap-thong-tin-chi-tiet-cua-cluster.md,
truy-cap-vao-dashboard,FPT Cloud Monitoring,39,63,full,full,1,1,100,n/a,0,0,False,fpt-cloud-monitoring/truy-cap-vao-dashboard.md,
try-example-workload,Managed GPU Cluster (Kubernetes),0,53,full,n/a,0,2,100,n/a,0,0,False,fpt-managed-gpu-cluster/try-example-workload.md,
