type,match_level,section,docId,title,present_in,missing_in,source_lang,bytes,match_lang,match_docId,match_score
UNIQUE,UNIQUE,vpn-site-to-site,"connect-fci-aws-transitgw","Cấu hình kết nối VPN Site-to-Site giữa FCI Cloud và AWS (Transit-Gateway)",vi,en+ja,vi,8990,,"",
UNIQUE,UNIQUE,vpn-site-to-site,"connect-fci-aws-virtualgw","I. Cấu hình VPN Site-to-Site trên AWS",vi,en+ja,vi,9135,,"",
UNIQUE,UNIQUE,vpn-site-to-site,"connect-fci-vmware","Cấu hình kết nối VPN Site-to-Site giữa Portal OpenStack và VMware",vi,en+ja,vi,4499,,"",
UNIQUE,UNIQUE,vpn-site-to-site,"connect-pfsense","Cấu hình VPN Site-to-Site với PfSense",vi,en+ja,vi,4455,,"",
UNIQUE,UNIQUE,vpn-site-to-site,"connect-strongswan","Cấu hình VPN Site-to-Site với strongSwan",vi,en+ja,vi,5484,,"",
UNIQUE,UNIQUE,vpn-site-to-site,"connect-vyos-1.5","Cấu hình VPN Site-to-Site với Vyos 1.5",vi,en+ja,vi,4657,,"",
UNIQUE,UNIQUE,vpn-site-to-site,"create-vpn-connection","Hướng dẫn khởi tạo VPN Connection",vi,en+ja,vi,7620,,"",
UNIQUE,UNIQUE,vpn-site-to-site,"faq","Câu hỏi thường gặp",vi,en+ja,vi,3790,,"",
UNIQUE,UNIQUE,vpn-site-to-site,"initial-setup","Thiết lập ban đầu",vi,en+ja,vi,803,,"",
UNIQUE,UNIQUE,vpn-site-to-site,"ket-noi-thiet-bi-behind-NAT-IP","Hướng dẫn kết nối thiết bị Behind NAT IP",vi,en+ja,vi,9333,,"",
UNIQUE,UNIQUE,vpn-site-to-site,"overviews-vpn","Tổng quan VPN Site-to-Site",vi,en+ja,vi,1422,,"",
UNIQUE,UNIQUE,vpn-site-to-site,"tai-file-cau-hinh-vpn","Hướng dẫn download file config VPN",vi,en+ja,vi,477,,"",
UNIQUE,UNIQUE,ai-notebook,"create-jp","Notebookの作成",ja,en+vi,ja,1822,,"",
UNIQUE,UNIQUE,ai-notebook,"faq-jp","よくある質問",ja,en+vi,ja,1536,,"",
UNIQUE,UNIQUE,ai-notebook,"get-started-jp","AI Notebookについて",ja,en+vi,ja,1138,,"",
UNIQUE,UNIQUE,ai-notebook,"lauch-jp","AI Notebookの起動",ja,en+vi,ja,3628,,"",
UNIQUE,UNIQUE,ai-notebook,"quick-start-jp","クイックスタート",ja,en+vi,ja,2326,,"",
UNIQUE,UNIQUE,ai-notebook,"shut-down-jp","Kernelのシャットダウン",ja,en+vi,ja,2138,,"",
UNIQUE,UNIQUE,ai-notebook,"switch","Kernelの接続と切り替え",ja,en+vi,ja,2027,,"",
UNIQUE,UNIQUE,ai_marketplace,"sign-in","サインイン",ja,en+vi,ja,842,,"",
UNIQUE,UNIQUE,budget-alert,"予算アラート","予算アラート",ja,en+vi,ja,1051,,"",
UNIQUE,UNIQUE,cost-explorer,"コストエクスプローラー","コストエクスプローラー",ja,en+vi,ja,595,,"",
UNIQUE,UNIQUE,cost-explorer,"質問-1","コストエクスプローラーを確認できない",ja,en+vi,ja,979,,"",
UNIQUE,UNIQUE,cost-explorer,"質問-2","特定リソースでコストエクスプローラーをフィルタリング",ja,en+vi,ja,389,,"",
UNIQUE,UNIQUE,create-vpc,"VPC の作成_1","VPCを作成する",ja,en+vi,ja,1497,,"",
UNIQUE,UNIQUE,create-vpc,"初期設定_1","初期設定",ja,en+vi,ja,783,,"",
UNIQUE,UNIQUE,dedicated-fpt-kubernetes-engine,"fke-usage-notes","FKE 使用上の注意事項",ja,en+vi,ja,3020,,"",
UNIQUE,UNIQUE,file-storage-high-performance,"su-dung-file-storage-high-performance-tren-kubernetes-k8s-cluster","Kubernetes (K8S Cluster) での File Storage – High Performance の利用",ja,en+vi,ja,491,,"",
UNIQUE,UNIQUE,fpt-cloud-waf,"initial-setup","初期設定",ja,en+vi,ja,1011,,"",
UNIQUE,UNIQUE,fpt-container-registry,"retention-rule","Retention rule を管理する",ja,en+vi,ja,2391,,"",
UNIQUE,UNIQUE,fpt-key-vault,"auth-method-management","Auth Method管理",ja,en+vi,ja,453,,"",
UNIQUE,UNIQUE,fpt-key-vault,"initial-setup","初期設定",ja,en+vi,ja,1266,,"",
UNIQUE,UNIQUE,fpt-key-vault,"policy-management","Policy管理",ja,en+vi,ja,414,,"",
UNIQUE,UNIQUE,fpt-key-vault,"secret-engine-management","Secret Engine管理",ja,en+vi,ja,425,,"",
UNIQUE,UNIQUE,fpt-key-vault,"secret-management","Secret管理",ja,en+vi,ja,459,,"",
UNIQUE,UNIQUE,fpt-message-bus,"manage-queues","queue の管理",ja,en+vi,ja,504,,"",
UNIQUE,UNIQUE,fpt-message-bus,"manage-topics","topic の管理",ja,en+vi,ja,670,,"",
UNIQUE,UNIQUE,fpt-object-storage,"bucket-config","bucket の設定",ja,en+vi,ja,8151,,"",
UNIQUE,UNIQUE,fpt-object-storage,"build-static-website","FPT Object Storage で静的ウェブサイトを構築する",ja,en+vi,ja,3071,,"",
UNIQUE,UNIQUE,fpt-object-storage,"encryption","暗号化（SSE-C）",ja,en+vi,ja,2089,,"",
UNIQUE,UNIQUE,fpt-object-storage,"manage-access-keys","access key の管理",ja,en+vi,ja,2840,,"",
UNIQUE,UNIQUE,fpt-object-storage,"manage-bucket","bucket の管理",ja,en+vi,ja,3376,,"",
UNIQUE,UNIQUE,fpt-object-storage,"manage-objects","object の管理",ja,en+vi,ja,4521,,"",
UNIQUE,UNIQUE,fpt-object-storage,"manage-permissions","permissions の管理",ja,en+vi,ja,3549,,"",
UNIQUE,UNIQUE,fpt-object-storage,"manage-subusers","subuser の管理",ja,en+vi,ja,2797,,"",
UNIQUE,UNIQUE,fpt-object-storage,"sdk-api-reference","SDK・API リファレンス",ja,en+vi,ja,3205,,"",
UNIQUE,UNIQUE,fpt-object-storage,"subuser-bucket-permissions","subuser への bucket 使用権限の付与",ja,en+vi,ja,2344,,"",
UNIQUE,UNIQUE,fpt-object-storage,"use-on-fpt-portal","FPT Portal での Object Storage の利用",ja,en+vi,ja,984,,"",
UNIQUE,UNIQUE,gpu-virtual-machine-en,"GPU-VM -インスタンス-の-作成","Gpu Vm  インスタンス の 作成",ja,en+vi,ja,6339,,"",
UNIQUE,UNIQUE,gpu-virtual-machine-en,"IPアドレス（フローティングIP）の割り当て","Ipアドレス（フローティングIp）の割り当て",ja,en+vi,ja,1422,,"",
UNIQUE,UNIQUE,gpu-virtual-machine-en,"に関するよくある質問","一般",ja,en+vi,ja,3603,,"",
UNIQUE,UNIQUE,gpu-virtual-machine-en,"クイック-スタート","クイック スタート",ja,en+vi,ja,3008,,"",
UNIQUE,UNIQUE,gpu-virtual-machine-en,"サブネット-の-作成","サブネット の 作成",ja,en+vi,ja,2052,,"",
UNIQUE,UNIQUE,gpu-virtual-machine-en,"サーバーへのアクセス","サーバーへのアクセス",ja,en+vi,ja,2730,,"",
UNIQUE,UNIQUE,gpu-virtual-machine-en,"セキュリティグループの作成","セキュリティグループの作成",ja,en+vi,ja,1505,,"",
UNIQUE,UNIQUE,gpu-virtual-machine-en,"初期-設定","初期 設定",ja,en+vi,ja,1242,,"",
UNIQUE,UNIQUE,gpu-virtual-machine-en,"概要","概要",ja,en+vi,ja,2229,,"",
UNIQUE,UNIQUE,iam,"iam-user-overview","IAM User概要",ja,en+vi,ja,1290,,"",
UNIQUE,UNIQUE,iam,"user-group-overview","User Group概要",ja,en+vi,ja,517,,"",
UNIQUE,UNIQUE,managed-fpt-database-engine,"initial-setup","初期設定",ja,en+vi,ja,1001,,"",
UNIQUE,UNIQUE,managed-fpt-kubernetes-engine,"khoi-tao-kubernetes-cluster-moi","新しい Kubernetes Cluster の作成",ja,en+vi,ja,3071,,"",
UNIQUE,UNIQUE,managed-fpt-kubernetes-engine,"snapshot-va-restore-pvc-tren-k8s-fpt","K8s FPT 上での PVC のスナップショットとリストア",ja,en+vi,ja,1354,,"",
UNIQUE,UNIQUE,model-fine-tuning,"audit-logs","モデルの微調整",ja,en+vi,ja,5521,,"",
UNIQUE,UNIQUE,model-fine-tuning,"concept","モデルの微調整",ja,en+vi,ja,5620,,"",
UNIQUE,UNIQUE,model-fine-tuning,"create-pipeline","Create Pipeline",ja,en+vi,ja,9489,,"",
UNIQUE,UNIQUE,model-fine-tuning,"faqs","よくある質問",ja,en+vi,ja,3159,,"",
UNIQUE,UNIQUE,model-fine-tuning,"initial-setup","初期設定",ja,en+vi,ja,2524,,"",
UNIQUE,UNIQUE,model-fine-tuning,"key-features","Key Features",ja,en+vi,ja,2193,,"",
UNIQUE,UNIQUE,model-fine-tuning,"manage-pipeline","Manage Pipeline",ja,en+vi,ja,1502,,"",
UNIQUE,UNIQUE,model-fine-tuning,"select-data-format","Select Data Format",ja,en+vi,ja,26724,,"",
UNIQUE,UNIQUE,model-fine-tuning,"set-hyperparameters","Set Hyperparameters",ja,en+vi,ja,5569,,"",
UNIQUE,UNIQUE,model-fine-tuning,"top-up-balance","Top Up Balance",ja,en+vi,ja,1148,,"",
UNIQUE,UNIQUE,model-fine-tuning,"training-configuration","Training Configuration",ja,en+vi,ja,2055,,"",
UNIQUE,UNIQUE,model-fine-tuning,"view-execution-details","View Execution Details",ja,en+vi,ja,999,,"",
UNIQUE,UNIQUE,model-fine-tuning,"view-execution-history","View Execution History",ja,en+vi,ja,1202,,"",
UNIQUE,UNIQUE,model-fine-tuning,"view-pipeline-settings","モデルの微調整",ja,en+vi,ja,5413,,"",
UNIQUE,UNIQUE,vpn-site-to-site,"VPNアクティビティの確認","VPN Activity logの確認",ja,en+vi,ja,348,,"",
UNIQUE,UNIQUE,vpn-site-to-site,"VPN情報の確認","VPN情報の確認",ja,en+vi,ja,823,,"",
UNIQUE,UNIQUE,vpn-site-to-site,"サイト間VPNの作成 -1","サイト間VPNの作成",ja,en+vi,ja,1690,,"",
UNIQUE,UNIQUE,vpn-site-to-site,"サイト間VPNの情報編集 -3","VPN情報の編集",ja,en+vi,ja,675,,"",
UNIQUE,UNIQUE,vpn-site-to-site,"サイト間VPNの構成情報をダウンロード","VPN構成情報のダウンロード",ja,en+vi,ja,306,,"",
UNIQUE,UNIQUE,vpn-site-to-site,"サイト間VPNの無効化 -1","サイト間VPNの無効化",ja,en+vi,ja,708,,"",
UNIQUE,UNIQUE,vpn-site-to-site,"サイト間VPNを有効にする-2","サイト間VPNの有効化",ja,en+vi,ja,684,,"",
UNIQUE,UNIQUE,vpn-site-to-site,"サイト間の削除-5","サイト間VPNの削除",ja,en+vi,ja,504,,"",
UNIQUE,UNIQUE,vpn-site-to-site,"認証証明書モード","証明書認証モード",ja,en+vi,ja,228,,"",
