section,fileName,in_en,in_vi,in_ja,status
fpt-key-vault,tutorials-tao-secret-tren-secret-engine,Y,Y,N,MISSING
fpt-key-vault,tutorials-xoa-policy,Y,Y,N,MISSING
fpt-key-vault,tutorials-xoa-secret,Y,Y,N,MISSING
fpt-key-vault,tutorials-xoa-secret-engine,Y,Y,N,MISSING
fpt-key-vault,view-update-secret,N,N,Y,MISSING
fpt-kubernetes-engine-with-gpu,fpt-kubernetes-engine-with-gpu,N,N,Y,MISSING
fpt-kubernetes-engine-with-gpu,index,Y,Y,N,MISSING
fpt-managed-gpu-cluster,quan-ly-managed-gpu-cluster,N,N,Y,MISSING
fpt-managed-gpu-cluster,thay-doi-cau-hinh-k8s,N,N,Y,MISSING
fpt-message-bus,Create-Subscriptions,Y,N,N,MISSING
fpt-message-bus,Create-topics,Y,N,N,MISSING
fpt-message-bus,Delete-queues,Y,N,N,MISSING
fpt-message-bus,Delete-topics,Y,N,N,MISSING
fpt-message-bus,Edit-topics,Y,N,N,MISSING
fpt-message-bus,Manage-Queues,Y,N,N,MISSING
fpt-message-bus,Manage-topics,Y,N,N,MISSING
fpt-message-bus,Quick-Starts,Y,N,N,MISSING
fpt-message-bus,Send-Receive-messages-in-topics,Y,N,N,MISSING
fpt-message-bus,create-queues,N,N,Y,MISSING
fpt-message-bus,create-subscriptions,N,N,Y,MISSING
fpt-message-bus,create-topics,N,N,Y,MISSING
fpt-message-bus,delete-queues,N,N,Y,MISSING
fpt-message-bus,delete-topics,N,N,Y,MISSING
fpt-message-bus,edit-topics,N,N,Y,MISSING
fpt-message-bus,fpt-message-bus-for-rabbitmq,Y,N,Y,MISSING
fpt-message-bus,gui-nhan-message-trong-queues,N,Y,N,MISSING
fpt-message-bus,gui-nhan-messages-trong-topics,N,Y,N,MISSING
fpt-message-bus,huong-dan-nhanh-quick-starts,N,Y,N,MISSING
fpt-message-bus,index,Y,Y,N,MISSING
fpt-message-bus,manage-queues,N,N,Y,MISSING
fpt-message-bus,manage-topics,N,N,Y,MISSING
fpt-message-bus,quan-ly-queues,N,Y,N,MISSING
fpt-message-bus,quick-starts,N,N,Y,MISSING
fpt-message-bus,send-receive-messages-in-queues,N,N,Y,MISSING
fpt-message-bus,send-receive-messages-in-topics,N,N,Y,MISSING
fpt-message-bus,sua-topic,N,Y,N,MISSING
fpt-message-bus,tao-queues,N,Y,N,MISSING
fpt-message-bus,tao-subscriptions,N,Y,N,MISSING
fpt-message-bus,tao-topics,N,Y,N,MISSING
fpt-message-bus,view-queues,N,N,Y,MISSING
fpt-message-bus,xem-queues,Y,Y,N,MISSING
fpt-message-bus,xoa-queues,N,Y,N,MISSING
fpt-message-bus,xoa-topics,N,Y,N,MISSING
fpt-object-storage,SDK-API-Reference,Y,Y,N,MISSING
fpt-object-storage,bucket-config,N,N,Y,MISSING
fpt-object-storage,build-static-website,N,N,Y,MISSING
fpt-object-storage,clone-bucket-data,N,N,Y,MISSING
fpt-object-storage,clone-du-lieu-giua-hai-bucket-khac-nhau,Y,Y,N,MISSING
fpt-object-storage,integrate-s3-clients,N,N,Y,MISSING
fpt-object-storage,manage-access-keys,N,N,Y,MISSING
fpt-object-storage,manage-bucket,N,N,Y,MISSING
fpt-object-storage,manage-objects,N,N,Y,MISSING
fpt-object-storage,manage-permissions,N,N,Y,MISSING
fpt-object-storage,manage-subusers,N,N,Y,MISSING
fpt-object-storage,mount-bucket-local,N,N,Y,MISSING
fpt-object-storage,mount-bucket-thanh-o-dia-tren-may-local,Y,Y,N,MISSING
fpt-object-storage,object-storage,Y,N,N,MISSING
fpt-object-storage,phan-quyen-su-dung-bucket-cho-cac-subuser,Y,Y,N,MISSING
fpt-object-storage,sdk-api-reference,N,N,Y,MISSING
fpt-object-storage,su-dung-fpt-object-storage-lam-media-server-luu-tru-va-phan-phoi-media-file-cho-websiteweb-application,Y,Y,N,MISSING
fpt-object-storage,subuser-bucket-permissions,N,N,Y,MISSING
fpt-object-storage,tutorials-bucket-config,Y,Y,N,MISSING
fpt-object-storage,tutorials-encryption,Y,Y,N,MISSING
fpt-object-storage,tutorials-integrate-fpt-object-storage-with-s3-client,Y,N,N,MISSING
fpt-object-storage,tutorials-object,Y,Y,N,MISSING
fpt-object-storage,tutorials-quan-ly-access-key-cua-object-storage-tren-fpt-portal,Y,Y,N,MISSING
fpt-object-storage,tutorials-quan-ly-subuser,Y,Y,N,MISSING
fpt-object-storage,tutorials-su-dung-object-storage-tren-s3-client,N,Y,N,MISSING
fpt-object-storage,tutorials-tich-hop-fpt-object-storage-voi-cac-s3-client,N,Y,N,MISSING
fpt-object-storage,tutorials-using-object-storage-on-fpt-portal,Y,N,N,MISSING
fpt-object-storage,tutorials-using-object-storage-on-s3-browser,Y,N,N,MISSING
fpt-object-storage,use-as-media-server,N,N,Y,MISSING
fpt-object-storage,use-on-fpt-portal,N,N,Y,MISSING
fpt-object-storage,use-with-s3-browser,N,N,Y,MISSING
fpt-object-storage,xay-dung-mot-website-tinh-bang-fpt-object-storage,Y,Y,N,MISSING
gateway,index,Y,Y,N,MISSING
global-search,global-search-usage,Y,N,Y,MISSING
gpu-container,gpu-container,N,N,Y,MISSING
gpu-container,index,Y,Y,N,MISSING
gpu-container,vllm-use-cases,N,Y,Y,MISSING
gpu-virtual-machine-en,GPU-VM -インスタンス-の-作成,N,N,Y,MISSING
gpu-virtual-machine-en,IPアドレス（フローティングIP）の割り当て,N,N,Y,MISSING
gpu-virtual-machine-en,index,Y,Y,N,MISSING
gpu-virtual-machine-en,クイック-スタート,N,N,Y,MISSING
gpu-virtual-machine-en,サブネット-の-作成,N,N,Y,MISSING
gpu-virtual-machine-en,サーバーへのアクセス,N,N,Y,MISSING
gpu-virtual-machine-en,セキュリティグループの作成,N,N,Y,MISSING
huong-dan-su-dung-grafana,index,Y,Y,N,MISSING
iam,2FA configuration,Y,N,N,MISSING
iam,Change password,Y,N,N,MISSING
iam,Check Activity logs,Y,N,N,MISSING
iam,Create an account and access the invited VPC,Y,N,Y,MISSING
iam,Create-a-Role-and-Assign-Permissions-to-the-Role,Y,N,Y,MISSING
iam,Delete IP access record.,Y,N,N,MISSING
iam,IAM-User-Overview,N,Y,Y,MISSING
iam,Invite new IAM users,Y,N,Y,MISSING
iam,Role-Overview,Y,Y,N,MISSING
iam,User Group-Overview,N,Y,N,MISSING
iam,activity-log-ip-access,N,Y,N,MISSING
iam,cau hinh 2fa,N,Y,N,MISSING
iam,change-password,N,N,Y,MISSING
iam,chinh sua role va permission,N,Y,N,MISSING
iam,chinh sua user group,N,Y,N,MISSING
iam,configure-2fa,N,N,Y,MISSING
iam,create-ip,N,Y,N,MISSING
iam,create-ip-access,Y,N,Y,MISSING
iam,create-user-group,Y,N,Y,MISSING
iam,delete-ip-access,N,Y,Y,MISSING
iam,delete-role,Y,N,Y,MISSING
iam,delete-user-group,Y,N,Y,MISSING
iam,edit-role,N,N,Y,MISSING
iam,edit-role-and-permissions,Y,N,N,MISSING
iam,edit-user-group,Y,N,N,MISSING
iam,iam-user-overview,Y,N,N,MISSING
iam,invite iam user moi,N,Y,N,MISSING
iam,ip-access-activity-log,N,N,Y,MISSING
iam,ip-access-overview,N,Y,N,MISSING
iam,khoi tao account va truy cap vao vpc da duoc moi,N,Y,N,MISSING
iam,khoi tao role va phan quyen cho role,N,Y,N,MISSING
iam,khoi tao user group moi,N,Y,N,MISSING
iam,overview-iam-user,Y,N,Y,MISSING
iam,overview-ip-access,Y,N,Y,MISSING
iam,overview-user-group,Y,N,Y,MISSING
iam,role-overview,N,N,Y,MISSING
iam,thay doi mat khau,N,Y,N,MISSING
iam,user-group-overview,Y,N,N,MISSING
iam,view-detail-user-group,Y,N,N,MISSING
iam,view-role-detail,Y,N,Y,MISSING
iam,view-role-list,Y,N,Y,MISSING
iam,view-user-group-detail,N,N,Y,MISSING
iam,view-user-group-list,N,N,Y,MISSING
iam,xem chi tiet role,N,Y,N,MISSING
iam,xem chi tiet user group,N,Y,N,MISSING
iam,xem danh sach role,N,Y,N,MISSING
iam,xoa role,N,Y,N,MISSING
iam,xoa user groups,N,Y,N,MISSING
incident-management,atlassian-jira,Y,N,Y,MISSING
incident-management,cau-hinh-integrations,N,Y,N,MISSING
incident-management,cau-hinh-settings,N,Y,N,MISSING
incident-management,change-the-incident-severity,Y,N,Y,MISSING
incident-management,change-the-incident-status,Y,N,Y,MISSING
incident-management,configure-incident-settings,Y,N,Y,MISSING
incident-management,configure-integrations,Y,N,Y,MISSING
incident-management,create-by-incoming-webhook,N,Y,N,MISSING
incident-management,create-incident-via-webhook,Y,N,Y,MISSING
incident-management,incident-data-visualization,Y,N,Y,MISSING
incident-management,incident-management,Y,N,N,MISSING
incident-management,incident-management-overview,N,Y,Y,MISSING
incident-management,incoming-webhook,Y,N,N,MISSING
incident-management,jira,N,Y,N,MISSING
incident-management,manage-incidents,Y,N,Y,MISSING
incident-management,tao-incident,N,Y,N,MISSING
incident-management,thay-doi-muc-do-anh-huong-incident,N,Y,N,MISSING
incident-management,thay-doi-trang-thai-incident,N,Y,N,MISSING
incident-management,truc-quan-du-lieu-incident,N,Y,N,MISSING
incident-management,view-incident-detail,Y,N,Y,MISSING
incident-management,xem-chi-tiet-incident,N,Y,N,MISSING
load-balancer,Allow-IP-CIDR,Y,Y,N,MISSING
load-balancer,Initial Setup,N,N,Y,MISSING
load-balancer,SNI-load-balancer,Y,Y,N,MISSING
load-balancer,add-external-member,Y,N,Y,MISSING
load-balancer,allow-ip-cidr,Y,N,Y,MISSING
load-balancer,cau-hinh-timeout,Y,Y,N,MISSING
load-balancer,chinh-sua-cau-hinh-health-check,Y,Y,N,MISSING
load-balancer,chinh-sua-listener,Y,Y,N,MISSING
load-balancer,classic-import-ssl-certificate,Y,N,Y,MISSING
load-balancer,configure-health-check,Y,N,Y,MISSING
load-balancer,configure-sni,Y,N,Y,MISSING
load-balancer,configure-timeout,Y,N,Y,MISSING
load-balancer,create-listener,Y,N,Y,MISSING
load-balancer,create-load-balancer,Y,N,Y,MISSING
load-balancer,create-server-pool,Y,N,Y,MISSING
load-balancer,enable-hsts,Y,N,Y,MISSING
load-balancer,import-ssl-certificate,Y,N,Y,MISSING
load-balancer,initial-setup,Y,Y,N,MISSING
load-balancer,integrate-with-fmon,Y,N,Y,MISSING
load-balancer,khoi tao mot load balancer moi,Y,Y,N,MISSING
load-balancer,khoi-tao-listener,Y,Y,N,MISSING
load-balancer,khoi-tao-load-balancer,Y,Y,N,MISSING
load-balancer,khoi-tao-server-pool,Y,Y,N,MISSING
load-balancer,monitor-load-balancer,Y,N,Y,MISSING
load-balancer,redirect-http-request-sang-https,N,Y,N,MISSING
load-balancer,redirect-http-to-https,Y,N,Y,MISSING
load-balancer,tao import ssl certificate,N,Y,N,MISSING
load-balancer,thay doi thong tin cau hinh load balancer,Y,Y,N,MISSING
load-balancer,them may ao vao load balancer,Y,Y,N,MISSING
load-balancer,them-bot-member-cho-server-pool,Y,Y,N,MISSING
load-balancer,them-external-member,Y,Y,N,MISSING
load-balancer,theo-doi-bieu-do-load-balancer,Y,Y,N,MISSING
load-balancer,tich-hop-fmon,N,Y,N,MISSING
load-balancer,update-load-balancer,Y,N,Y,MISSING
load-balancer,xem thong tin chi tiet ssl certificate,Y,Y,N,MISSING
load-balancer,xoa load balancer,Y,Y,N,MISSING
load-balancer,xoa may ao khoi load balancer,Y,Y,N,MISSING
load-balancer,xoa-ssl-certificate,N,Y,N,MISSING
managed-fpt-database-engine,Cap-nhat-va-xoa-Backup-Service,Y,Y,N,MISSING
managed-fpt-database-engine,DB-proxy,N,Y,N,MISSING
managed-fpt-database-engine,Khoi-tao-DB-Proxy,N,Y,N,MISSING
managed-fpt-database-engine,Phan-quyen-tinh-nang-Database,N,Y,N,MISSING
managed-fpt-database-engine,Provision-Database-Engine,N,Y,N,MISSING
managed-fpt-database-engine,Quan-ly-Backups,N,Y,N,MISSING
managed-fpt-database-engine,Quan-ly-Restore,N,Y,N,MISSING
managed-fpt-database-engine,Roles,N,Y,N,MISSING
managed-fpt-database-engine,Thao-tac-voi-DB-Proxy,N,Y,N,MISSING
managed-fpt-database-engine,create-backup-service,Y,N,Y,MISSING
managed-fpt-database-engine,create-database-engine,Y,N,Y,MISSING
managed-fpt-database-engine,create-db-proxy,Y,N,Y,MISSING
managed-fpt-database-engine,create-floating-ip,Y,N,Y,MISSING
managed-fpt-database-engine,create-security-groups,Y,N,Y,MISSING
managed-fpt-database-engine,create-subnets,Y,N,Y,MISSING
managed-fpt-database-engine,database-feature-permissions,Y,N,Y,MISSING
managed-fpt-database-engine,manage-backups,Y,N,Y,MISSING
managed-fpt-database-engine,manage-configuration,Y,N,Y,MISSING
managed-fpt-database-engine,manage-database-engine,Y,N,Y,MISSING
managed-fpt-database-engine,manage-db-proxy,Y,N,Y,MISSING
managed-fpt-database-engine,manage-event-logs,Y,N,Y,MISSING
managed-fpt-database-engine,manage-resources,Y,N,Y,MISSING
managed-fpt-database-engine,manage-restore,Y,N,Y,MISSING
managed-fpt-database-engine,process-monitoring,Y,N,Y,MISSING
managed-fpt-database-engine,provision-database-engine,Y,N,Y,MISSING
managed-fpt-database-engine,report,Y,N,N,MISSING
managed-fpt-database-engine,roles,Y,N,Y,MISSING
managed-fpt-database-engine,tao-security-groups,N,Y,N,MISSING
managed-fpt-database-engine,tạo-floating-IP,N,Y,N,MISSING
managed-fpt-database-engine,tạo-subnets,N,Y,N,MISSING
managed-fpt-database-engine,update-delete-backup-job,Y,N,Y,MISSING
managed-fpt-database-engine,update-delete-backup-service,Y,N,Y,MISSING
managed-fpt-kubernetes-engine,Initial-setup,Y,Y,N,MISSING
managed-fpt-kubernetes-engine,addding-gpu-worker-group,Y,N,Y,MISSING
managed-fpt-kubernetes-engine,audit-log,N,N,Y,MISSING
managed-fpt-kubernetes-engine,audit-log-vn,Y,Y,N,MISSING
managed-fpt-kubernetes-engine,auto-upgrade-guide,N,N,Y,MISSING
managed-fpt-kubernetes-engine,auto-upgrade-version,N,N,Y,MISSING
managed-fpt-kubernetes-engine,backup-restore,N,N,Y,MISSING
managed-fpt-kubernetes-engine,backup-restore-vn,Y,Y,N,MISSING
managed-fpt-kubernetes-engine,bat-tat-node-auto-repair,N,Y,N,MISSING
managed-fpt-kubernetes-engine,benchmark-cluster,N,N,Y,MISSING
managed-fpt-kubernetes-engine,cac-luu-y-khi-su-dung-m-fke,N,Y,N,MISSING
managed-fpt-kubernetes-engine,cau-hinh-proxy-protocol,N,Y,N,MISSING
managed-fpt-kubernetes-engine,cau-hinh-proxy-protocol-cho-istio-ingress,N,Y,N,MISSING
managed-fpt-kubernetes-engine,cau-hinh-proxy-protocol-cho-nginx-ingress,N,Y,N,MISSING
managed-fpt-kubernetes-engine,change-base-worker-group,N,N,Y,MISSING
managed-fpt-kubernetes-engine,change-cluster-endpoint-access,N,N,Y,MISSING
managed-fpt-kubernetes-engine,change-lb-internal-subnet,N,N,Y,MISSING
managed-fpt-kubernetes-engine,change-worker-pool-flavor,N,N,Y,MISSING
managed-fpt-kubernetes-engine,changing-clusters-configuration,Y,N,Y,MISSING
managed-fpt-kubernetes-engine,chinh-sua-label-taint-cho-worker-group,N,Y,N,MISSING
managed-fpt-kubernetes-engine,chuyen-worker-group-base,N,Y,N,MISSING
managed-fpt-kubernetes-engine,configure-coredns,N,N,Y,MISSING
managed-fpt-kubernetes-engine,configure-proxy-protocol,N,N,Y,MISSING
managed-fpt-kubernetes-engine,container-level-auto-scaling,Y,N,Y,MISSING
managed-fpt-kubernetes-engine,danh-tag-cho-vm,N,Y,N,MISSING
managed-fpt-kubernetes-engine,dich-vu-gpu-tren-k8s,Y,Y,N,MISSING
managed-fpt-kubernetes-engine,dieu-chinh-cau-hinh-coredns-trong-kubernetes-service,N,Y,N,MISSING
managed-fpt-kubernetes-engine,disable-cluster-autoscale,Y,N,Y,MISSING
managed-fpt-kubernetes-engine,enable-cluster-autoscale,Y,N,Y,MISSING
managed-fpt-kubernetes-engine,enable-disable-auto-repair,N,N,Y,MISSING
managed-fpt-kubernetes-engine,fpt-cloud-managed-kubernetes-release-calendar,N,Y,N,MISSING
managed-fpt-kubernetes-engine,gioi-thieu-chung-ve-quy-trinh-quan-ly-version,N,Y,N,MISSING
managed-fpt-kubernetes-engine,gpu-fpt-cloud,Y,N,N,MISSING
managed-fpt-kubernetes-engine,gpu-la-gi,Y,Y,N,MISSING
managed-fpt-kubernetes-engine,gpu-service-on-k8s,N,N,Y,MISSING
managed-fpt-kubernetes-engine,hibernate-wakeup,N,N,Y,MISSING
managed-fpt-kubernetes-engine,hibernate-wakeup-schedule,N,N,Y,MISSING
managed-fpt-kubernetes-engine,how-to-use-gpu-in-kubernetes,Y,N,Y,MISSING
managed-fpt-kubernetes-engine,huong-dan-chi-tiet-su-dung-auto-upgrade,N,Y,N,MISSING
managed-fpt-kubernetes-engine,khoi-tạo-kubernetes-cluster-moi,Y,Y,N,MISSING
managed-fpt-kubernetes-engine,lay-thong-tin-truy-cap-cluster,Y,Y,N,MISSING
managed-fpt-kubernetes-engine,list-created-cluster,Y,N,N,MISSING
managed-fpt-kubernetes-engine,load-balancer-services,Y,N,Y,MISSING
managed-fpt-kubernetes-engine,managed-fpt-kubernetes-engine,N,N,Y,MISSING
managed-fpt-kubernetes-engine,managing-k8s-cluster,Y,N,N,MISSING
managed-fpt-kubernetes-engine,mfke-faqs,N,Y,N,MISSING
managed-fpt-kubernetes-engine,modify-cluster-autoscale-configuration,Y,N,Y,MISSING
managed-fpt-kubernetes-engine,nang-cap-k8s-version,Y,Y,N,MISSING
managed-fpt-kubernetes-engine,node-level-auto-scaling,Y,N,Y,MISSING
managed-fpt-kubernetes-engine,proxy-protocol-istio-ingress,N,N,Y,MISSING
managed-fpt-kubernetes-engine,proxy-protocol-nginx-ingress,N,N,Y,MISSING
managed-fpt-kubernetes-engine,quan-ly-kubernetes-cluster,N,Y,N,MISSING
managed-fpt-kubernetes-engine,release-calendar,N,N,Y,MISSING
managed-fpt-kubernetes-engine,restore-persistent-volume,N,N,Y,MISSING
managed-fpt-kubernetes-engine,restore-persistent-volume-tren-k8s,N,Y,N,MISSING
managed-fpt-kubernetes-engine,rotate-kubeconfig,N,N,Y,MISSING
managed-fpt-kubernetes-engine,runtime-security,N,N,Y,MISSING
managed-fpt-kubernetes-engine,scale-in-chi-dinh-node,N,Y,N,MISSING
managed-fpt-kubernetes-engine,scale-in-specific-node,N,N,Y,MISSING
managed-fpt-kubernetes-engine,schedule-delete-pvc-snapshot,N,N,Y,MISSING
managed-fpt-kubernetes-engine,schedule-pvc-snapshot,N,N,Y,MISSING
managed-fpt-kubernetes-engine,security-enhancement,N,N,Y,MISSING
managed-fpt-kubernetes-engine,service-type-kb-layer7-lbv2,N,Y,N,MISSING
managed-fpt-kubernetes-engine,service-type-layer7-lb,N,N,Y,MISSING
managed-fpt-kubernetes-engine,setting-up-gpu-telemetry,Y,N,Y,MISSING
managed-fpt-kubernetes-engine,setup-k8s-cluster-for-gpu-usage,Y,N,Y,MISSING
managed-fpt-kubernetes-engine,snapshot-persistent-volume,N,N,Y,MISSING
managed-fpt-kubernetes-engine,snapshot-persistent-volume-tren-k8s,N,Y,N,MISSING
managed-fpt-kubernetes-engine,snapshot-restore-pvc,N,N,Y,MISSING
managed-fpt-kubernetes-engine,tag-vms,N,N,Y,MISSING
managed-fpt-kubernetes-engine,tai-sao-nen-su-dung-gpu-tren-cloud,Y,Y,N,MISSING
managed-fpt-kubernetes-engine,tai-sao-nen-su-dung-gpu-tren-kubernetes,N,Y,N,MISSING
managed-fpt-kubernetes-engine,thay-doi-cau-hinh-flavor-cua-worker-pool,N,Y,N,MISSING
managed-fpt-kubernetes-engine,thay-doi-cau-hinh-internal-subnet-load-balancer,N,Y,N,MISSING
managed-fpt-kubernetes-engine,thay-doi-cau-hinh-k8s-cluster,N,Y,N,MISSING
managed-fpt-kubernetes-engine,thay-doi-cluster-endponit-access,N,Y,N,MISSING
managed-fpt-kubernetes-engine,them-worker-group,Y,Y,N,MISSING
managed-fpt-kubernetes-engine,thuc-hien-dat-lich-snapshot-pvc,N,Y,N,MISSING
managed-fpt-kubernetes-engine,thuc-hien-dat-lich-xoa-pvc-snapshot,N,Y,N,MISSING
managed-fpt-kubernetes-engine,tinh-nang-benchmark-cluster,N,Y,N,MISSING
managed-fpt-kubernetes-engine,tinh-nang-dat-lich-hibernate-wake-up,N,Y,N,MISSING
managed-fpt-kubernetes-engine,tinh-nang-hibernate-wakeup,Y,Y,N,MISSING
managed-fpt-kubernetes-engine,tinh-nang-rotate-kubeconfig,N,Y,N,MISSING
managed-fpt-kubernetes-engine,tinh-nang-runtime-security-cluster,Y,Y,N,MISSING
managed-fpt-kubernetes-engine,tinh-nang-tang-cuong-bao-mat-mfke,N,Y,N,MISSING
managed-fpt-kubernetes-engine,tinh-nang-workload-scan,Y,Y,N,MISSING
managed-fpt-kubernetes-engine,trien-khai-ung-dung-tren-worker-pool,N,Y,N,MISSING
managed-fpt-kubernetes-engine,truy-cap-thong-tin-chi-tiet-cua-cluster,N,Y,N,MISSING
managed-fpt-kubernetes-engine,tu-dong-nang-cap-version,N,Y,N,MISSING
managed-fpt-kubernetes-engine,version-management-overview,N,N,Y,MISSING
managed-fpt-kubernetes-engine,why-use-gpu-on-cloud,N,N,Y,MISSING
managed-fpt-kubernetes-engine,why-use-gpu-on-k8s,N,N,Y,MISSING
managed-fpt-kubernetes-engine,workload-scan,N,N,Y,MISSING
managed-fpt-kubernetes-engine,xem-danh-sach-kubernetes-cluster-da-tao,N,Y,N,MISSING
managed-gpu-cluster-kubernetes-ja,Managed-GPU ク-ラ-ス-タ-ー-の-管-理,Y,Y,N,MISSING
managed-gpu-cluster-kubernetes-ja,index,Y,Y,N,MISSING
managed-gpu-cluster-kubernetes-ja,managed-gpu-cluster-kubernetes-ja,N,N,Y,MISSING
managed-gpu-cluster-kubernetes-ja,ワーカーグループのベース切り替え機能,Y,Y,N,MISSING
metal-cloud-ja,index,Y,Y,N,MISSING
model-fine-tuning,cancel-pipeline,Y,Y,N,MISSING
model-fine-tuning,concept,N,N,Y,MISSING
model-fine-tuning,edit-pipeline,Y,Y,N,MISSING
model-fine-tuning,execution-history,Y,Y,N,MISSING
model-fine-tuning,faqs,N,N,Y,MISSING
model-fine-tuning,how-to-manage-pipeline,Y,Y,N,MISSING
model-fine-tuning,index,Y,Y,N,MISSING
model-hub,Edit-version,Y,N,Y,MISSING
model-hub,chi-tiet-model,Y,Y,N,MISSING
model-hub,chi-tiet-model-catalog,Y,Y,N,MISSING
model-hub,clone-model,Y,Y,N,MISSING
model-hub,create-a-model,Y,N,Y,MISSING
model-hub,create-version,Y,N,Y,MISSING
model-hub,dang-nhap,Y,Y,N,MISSING
model-hub,danh-sach-model-catalog,N,Y,N,MISSING
model-hub,delete-a-model,Y,N,Y,MISSING
model-hub,download-file,N,Y,N,MISSING
model-hub,download-files,Y,N,Y,MISSING
model-hub,edit-a-model,Y,N,Y,MISSING
model-hub,how-does-it-work,Y,N,Y,MISSING
model-hub,how-to-create-model-version,Y,N,Y,MISSING
model-hub,how-to-share-a-model,Y,N,Y,MISSING
model-hub,how-to-upload-download-files-by-sdk,Y,N,Y,MISSING
model-hub,how-to-use-model-catalog,Y,N,Y,MISSING
model-hub,how-to-use-model-from-other-sources-like-hugging-face,Y,N,Y,MISSING
model-hub,how-to-use-private-model,Y,N,Y,MISSING
model-hub,index,Y,Y,N,MISSING
model-hub,model-catalog,N,Y,N,MISSING
model-hub,model-deployment,N,Y,N,MISSING
model-hub,notice,Y,N,Y,MISSING
model-hub,overview,Y,N,Y,MISSING
model-hub,quick-start,Y,N,Y,MISSING
model-hub,share-detail-invited,N,Y,N,MISSING
model-hub,share-detail-joined,N,Y,N,MISSING
model-hub,sign-up-for-an-account,Y,N,Y,MISSING
model-hub,start-using-services,Y,N,Y,MISSING
model-hub,sua-model,Y,Y,N,MISSING
model-hub,tao-model,Y,Y,N,MISSING
model-hub,top-up-balance,Y,N,Y,MISSING
model-hub,update-share,Y,Y,N,MISSING
model-hub,update-version,Y,Y,N,MISSING
model-hub,upload-file,Y,Y,N,MISSING
model-hub,upload-files,Y,N,Y,MISSING
model-hub,view-list-model-2,Y,N,Y,MISSING
model-hub,view-model-details,Y,N,Y,MISSING
model-hub,view-update-organization,Y,Y,N,MISSING
model-hub,what-is-model-hub,Y,N,Y,MISSING
model-hub,why-model-hub,Y,N,Y,MISSING
model-hub,xoa-model,Y,Y,N,MISSING
model-testing-interactive-sessions,index,Y,Y,N,MISSING
model-testing-interactive-sessions,overview,N,Y,N,MISSING
model-testing-interactive-sessions,quick-start,N,Y,N,MISSING
model-testing-interactive-sessions,what-is-model-testing-interactive-sessions,N,N,Y,MISSING
nat_instance,index,Y,Y,N,MISSING
notification-bell,index,Y,Y,N,MISSING
policy-management,apply-policy,Y,Y,N,MISSING
policy-management,create-overview-policy,Y,Y,N,MISSING
policy-management,create-policy,Y,Y,N,MISSING
policy-management,delete-policy,Y,Y,N,MISSING
policy-management,disable-policy,Y,Y,N,MISSING
policy-management,edit-policy,Y,Y,N,MISSING
policy-management,enable-policy,Y,Y,N,MISSING
policy-management,initial-setup,Y,Y,N,MISSING
policy-management,ポリシーを有効にする_07,N,N,Y,MISSING
policy-management,ポリシーを無効にする_06,N,N,Y,MISSING
policy-management,ポリシー削除_05,N,N,Y,MISSING
policy-management,ポリシー管理の作成_03,N,N,Y,MISSING
policy-management,ポリシー管理の迅速な作成-01,N,N,Y,MISSING
policy-management,ポリシー管理の適用_02,N,N,Y,MISSING
policy-management,ポリシー編集_04,N,N,Y,MISSING
policy-management,初期設定,N,N,Y,MISSING
relation-management,datasource-relation-management,N,N,Y,MISSING
relation-management,index,Y,Y,N,MISSING
reporting,index,Y,Y,N,MISSING
sso-single-sign-on,index,Y,Y,N,MISSING
tagging,Delete Tag,Y,N,N,MISSING
tagging,Edit tags,Y,N,N,MISSING
tagging,Initializing tags ,Y,N,N,MISSING
tagging,Manage tag for Security group,Y,N,N,MISSING
tagging,Manage tag to Custom image,Y,N,N,MISSING
tagging,Manage tag to Instance Management,Y,N,N,MISSING
tagging,Manage tag to Resource,Y,N,N,MISSING
tagging,Manage tag to Snapshot,Y,N,N,MISSING
tagging,Manage tag to Storage disk,Y,N,N,MISSING
tagging,Manage tag to Subnet,Y,N,N,MISSING
tagging,Managing Tags for Floating IP,Y,N,N,MISSING
tagging,Tagging Billing,Y,N,N,MISSING
tagging,create-tag-new,N,Y,N,MISSING
tagging,delete-tag,N,Y,N,MISSING
tagging,edit-tag,N,Y,N,MISSING
tagging,initial-setup,Y,Y,N,MISSING
tagging,resource-1,N,Y,N,MISSING
tagging,tagg-lb,Y,Y,N,MISSING
tagging,tagging-billing,N,Y,N,MISSING
tagging,tags-custom-image,N,Y,N,MISSING
tagging,tags-floating-ip,N,Y,N,MISSING
tagging,tags-instance,N,Y,N,MISSING
tagging,tags-security-group,N,Y,N,MISSING
tagging,tags-snapshot,N,Y,N,MISSING
tagging,tags-storage-disk,N,Y,N,MISSING
tagging,tags-subnet,N,Y,N,MISSING
tagging,インスタンス管理 _1,N,N,Y,MISSING
tagging,カスタム画像_4,N,N,Y,MISSING
tagging,サブネット_6,N,N,Y,MISSING
tagging,ストレージディスク_2,N,N,Y,MISSING
tagging,スナップショット_3,N,N,Y,MISSING
tagging,セキュリティグループ_7,N,N,Y,MISSING
tagging,タグの編集,N,N,Y,MISSING
tagging,タグリソースの管理,N,N,Y,MISSING
tagging,タグ作成,N,N,Y,MISSING
tagging,フローティングIP _5,N,N,Y,MISSING
tagging,ロードバランサー,N,N,Y,MISSING
tagging,作成したタグの削除,N,N,Y,MISSING
